iframe test results
--- http://www.chicoer.com: OK
--- http://www.chinadaily.com.cn: OK
--- http://www.chinadialogue.net: OK
--- http://www.china.org.cn: OK
--- http://www.christianpost.com: OK
--- http://www.cicero.uio.no: OK
--- http://www.circleofblue.org: OK
--- http://www.citizen-times.com: OK
--- http://www.cjr.org: OK
--- http://www.clarionledger.com: OK
--- http://www.cleveland.com: OK
--- http://www.click2houston.com: OK
--- http://www.clickgreen.org.uk: OK
--- http://www.clickondetroit.com: OK
--- http://www.clickorlando.com: OK
--- http://www.climatecentral.org: OK
--- http://www.climatesciencewatch.org: OK
--- http://www.cnbc.com: OK
--- http://www.co2science.org: OK
--- http://www.coloradoan.com: OK
--- http://www.columbian.com: OK
--- http://www.commondreams.org: OK
--- http://www.computerweekly.com: OK
--- http://www.concordmonitor.com: OK
--- http://www.contracostatimes.com: OK
--- http://www.countercurrents.org: OK
--- http://www.counterpunch.org: OK
--- http://www.courier-journal.com: OK
--- http://www.couriermail.com.au: OK
--- http://www.couriernews.com: OK
--- http://www.courierpostonline.com: OK
--- http://www.courierpress.com: OK
--- http://www.csmonitor.com: OK
--- http://www.csrwire.com: OK
--- http://www.ctnow.com: OK
--- http://www.ctpost.com: OK
--- http://www.ctvnews.ca: OK
--- http://www.cullmantimes.com: OK
--- http://www.dailybreeze.com: OK
--- http://www.dailycamera.com: OK
--- http://www.dailydemocrat.com: OK
--- http://www.dailyfinance.com: OK
--- http://www.dailyherald.com: FRAMEBUSTER
--- http://www.dailykos.com: OK
--- http://www.dailymail.com: OK
--- http://www.dailymail.co.uk: OK
--- http://www.dailymirror.lk: OK
--- http://www.dailynews.com: OK
--- http://www.dailynews.lk: OK
--- http://www.dailypress.com: OK
--- http://www.dailyprogress.com: OK
--- http://www.dailyrecord.com: OK
--- http://www.dailytelegraph.com.au: OK
--- http://www.dallasnews.com: OK
--- http://www.daytondailynews.com: OK
--- http://www.dcourier.com: OK
--- http://www.deccanherald.com: OK
--- http://www.delawareonline.com: OK
--- http://www.delmarvanow.com: OK
--- http://www.democracynow.org: OK
--- http://www.democratandchronicle.com: OK
--- http://www.democraticunderground.com: OK
--- http://www.deseretnews.com: OK
--- http://www.designnews.com: FRAMEBUSTER
--- http://www.designntrend.com: OK
--- http://www.desmoinesregister.com: OK
--- http://www.detroitnews.com: OK
--- http://www.digitaljournal.com: OK
--- http://www.dispatchpolitics.com: OK
--- http://www.dnaindia.com: OK
--- http://www.domain-b.com: FRAMEBUSTER
--- http://www.duluthnewstribune.com: OK
--- http://www.dw.de: OK
--- http://www.dw-world.de: OK
--- http://www.earthisland.org: OK
--- http://www.earthtechling.com: OK
--- http://www.earthtimes.org: OK
--- http://www.echopress.com: OK
--- http://www.eco-business.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://www.economicvoice.com: OK
--- http://www.economist.com: OK
--- http://www.economonitor.com: OK
--- http://www.ecori.org: OK
--- http://www.ecoseed.org: OK
--- http://www.ecosystemmarketplace.com: OK
--- http://www.edf.org: OK
--- http://www.edie.net: OK
--- http://www.edmondsun.com: OK
--- http://www.edmontonjournal.com: OK
--- http://www.eenews.net: OK
--- http://www.elp.com: OK
--- http://www.energytrendsinsider.com: OK
--- http://www.engineeringnews.co.za: OK
--- http://www.enn.com: OK
--- http://www.ens-newswire.com: OK
--- http://www.enterstageright.com: OK
--- http://www.environmental-expert.com: OK
--- http://www.environmentalleader.com: OK
--- http://www.equities.com: OK
--- http://www.ethlife.ethz.ch: OK
--- http://www.euractiv.com: OK
--- http://www.eurasiareview.com: OK
--- http://www.eurekalert.org: OK
--- http://www.evwind.es: OK
--- http://www.examiner.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://www.expatforum.com: OK
--- http://www.express.co.uk: OK
--- http://www.farmanddairy.com: OK
--- http://www.financialexpress.com: OK
--- http://www.firstpost.com: OK
--- http://www.floridatoday.com: OK
--- http://www.fool.com: OK
--- http://www.forbes.com: OK
--- http://www.foreignaffairs.com: OK
--- http://www.foreignpolicy.com: OK
--- http://www.fosters.com: OK
--- http://www.foxbusiness.com: OK
--- http://www.foxnews.com: OK
--- http://www.france24.com: OK
--- http://www.fredericknewspost.com: OK
--- http://www.freep.com: OK
--- http://www.ft.com: OK
--- http://www.futurity.org: OK
--- http://www.gainesville.com: OK
--- http://www.gazette.com: OK
--- http://www.gazettenet.com: OK
--- http://www.gazettetimes.com: OK
--- http://www.ghanaweb.com: OK
--- http://www.gizmag.com: OK
--- http://www.globalnews.ca: OK
--- http://www.globalpost.com: OK
--- http://www.globalresearch.ca: OK
--- http://www.globaltimes.cn: OK
--- http://www.globalwarming.org: OK
--- http://www.goerie.com: OK
--- http://www.google.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://www.gopusa.com: OK
--- http://www.gosanangelo.com: OK
--- http://www.greatfallstribune.com: OK
--- http://www.greenbiz.com: OK
--- http://www.greenerideal.com: OK
--- http://www.greenleft.org.au: OK
--- http://www.greenoptimistic.com: OK
--- http://www.greenpeace.org: OK
--- http://www.greenpeace.org.uk: OK
--- http://www.greentechmedia.com: OK
--- http://www.greenvilleonline.com: OK
--- http://www.guampdn.com: OK
--- http://www.guardian.co.uk: OK
--- http://www.guelphmercury.com: OK
--- http://www.haaretz.com: OK
--- http://www.hawaii247.com: OK
--- http://www.hawaii.edu: OK
--- http://www.hcn.org: OK
--- http://www.health24.com: OK
--- http://www.heraldnet.com: OK
--- http://www.heraldnews.com: OK
--- http://www.heraldsun.com.au: OK
--- http://www.heraldtribune.com: OK
--- http://www.hindustantimes.com: OK
--- http://www.hngn.com: OK
--- http://www.hollywoodreporter.com: OK
--- http://www.huffingtonpost.ca: OK
--- http://www.huffingtonpost.com: OK
--- http://www.huffingtonpost.co.uk: OK
--- http://www.humanevents.com: OK
--- http://www.hydrogenfuelnews.com: OK
--- http://www.i4u.com: OK
--- http://www.iaea.org: OK
--- http://www.ibtimes.com: OK
--- http://www.ibtimes.co.uk: OK
--- http://www.in.com: OK
--- http://www.in-cumbria.com: OK
--- http://www.independent.co.uk: OK
--- http://www.indiaeducationdiary.in: OK
--- http://www.indiainfoline.com: OK
--- http://www.indybay.org: OK
--- http://www.indystar.com: OK
--- http://www.inforum.com: OK
--- http://www.innovations-report.de: OK
--- http://www.inquisitr.com: OK
--- http://www.insidebayarea.com: OK
--- http://www.insidermonkey.com: OK
--- http://www.insurancejournal.com: OK
--- http://www.iol.co.za: OK
--- http://www.iomtoday.co.im: OK
--- http://www.ipolitics.ca: OK
--- http://www.ippmedia.com: OK
--- http://www.ipsnews.net: OK
--- http://www.irinnews.org: OK
--- http://www.irishexaminer.com: OK
--- http://www.irishtimes.com: OK
--- http://www.isciencetimes.com: OK
--- http://www.islandsbusiness.com: OK
--- http://www.isn.ethz.ch: OK
--- http://www.itechpost.com: OK
--- http://www.itv.com: OK
--- http://www.jacksonfreepress.com: OK
--- http://www.jacksonsun.com: OK
--- http://www.japantimes.co.jp: OK
--- http://www.japantoday.com: OK
--- http://www.jdsupra.com: OK
--- http://www.joplinglobe.com: OK
--- http://www.journalstandard.com: OK
--- http://www.jpost.com: OK
--- http://www.jsonline.com: OK
--- http://www.juraforum.de: OK
--- http://www.justmeans.com: OK
--- http://www.kansascity.com: OK
--- http://www.kansas.com: OK
--- http://www.kcet.org: OK
--- http://www.kentucky.com: OK
--- http://www.khaleejtimes.com: OK
--- http://www.kitsapsun.com: OK
--- http://www.kjonline.com: OK
--- http://www.knoxnews.com: OK
--- http://www.koreatimes.co.kr: OK
--- http://www.kpbs.org: OK
--- http://www.ksl.com: OK
--- http://www.kval.com: OK
--- http://www.kxnet.com: OK
--- http://www.laboratoryequipment.com: OK
--- http://www.laramieboomerang.com: OK
--- http://www.lasvegassun.com: OK
--- http://www.latimes.com: OK
--- http://www.latinospost.com: OK
--- http://www.lcsun-news.com: OK
--- http://www.leaderpost.com: OK
--- http://www.ledgertranscript.com: OK
--- http://www.leftfootforward.org: OK
--- http://www.lethbridgeherald.com: OK
--- http://www.lexology.com: OK
--- http://www.libdemvoice.org: OK
--- http://www.link2portal.com: OK
--- http://www.livemint.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://www.livescience.com: OK
--- http://www.livetradingnews.com: OK
--- http://www.lowellsun.com: OK
--- http://www.lvrj.com: OK
--- http://www.mailonsunday.co.uk: OK
--- http://www.malaya.com.ph: OK
--- http://www.malaysiasun.com: OK
--- http://www.manilatimes.net: OK
--- http://www.mansfieldnewsjournal.com: OK
--- http://www.marinij.com: OK
--- http://www.marketoracle.co.uk: OK
--- http://www.marketwatch.com: OK
--- http://www.marketwire.com: OK
--- http://www.masslive.com: OK
--- http://www.mb.com.ph: OK
--- http://www.mcall.com: OK
--- http://www.mcclatchydc.com: OK
--- http://www.medicaldaily.com: OK
--- http://www.medicinehatnews.com: OK
--- http://www.medicinenet.com: OK
--- http://www.medindia.net: OK
--- http://www.melodika.net: OK
--- http://www.menafn.com: OK
--- http://www.mercedsunstar.com: OK
--- http://www.mercurynews.com: OK
--- http://www.metropolismag.com: OK
--- http://www.metrowestdailynews.com: OK
--- http://www.miamiherald.com: OK
--- http://www.midwestenergynews.com: OK
--- http://www.minnpost.com: OK
--- http://www.mlive.com: OK
--- http://www.mndaily.com: OK
--- http://www.mnn.com: OK
--- http://www.modernghana.com: OK
--- http://www.moneycontrol.com: OK
--- http://www.montereyherald.com: OK
--- http://www.montrealgazette.com: OK
--- http://www.motherearthnews.com: OK
--- http://www.motherjones.com: OK
--- http://www.msnbc.msn.com: OK
--- http://www.mydesert.com: OK
--- http://www.myfoxhouston.com: OK
--- http://www.myfoxny.com: OK
--- http://www.mysanantonio.com: OK
--- http://www.nasa.gov: OK
--- http://www.nasdaq.com: OK
--- http://www.nationaljournal.com: OK
--- http://www.nationalparkstraveler.com: OK
--- http://www.nationalreview.com: OK
--- http://www.nationmultimedia.com: OK
--- http://www.natlawreview.com: OK
--- http://www.naturalnews.com: OK
--- http://www.nature.com: OK
--- http://www.natureworldnews.com: OK
--- http://www.nawindpower.com: OK
--- http://www.nbcnews.com: OK
--- http://www.nbr.co.nz: OK
--- http://www.ncdc.noaa.gov: OK
--- http://www.ndtv.com: OK
--- http://www.newenergyworldnetwork.com: OK
--- http://www.newkerala.com: OK
--- http://www.news24.com: OK
--- http://www.newschannel9.com: OK
--- http://www.newscientist.com: OK
--- http://www.news.com.au: OK
--- http://www.newsday.com: OK
--- http://www.newser.com: OK
--- http://www.news-gazette.com: OK
--- http://www.news-leader.com: OK
--- http://www.newsmax.com: OK
--- http://www.newsminer.com: OK
--- http://www.newsobserver.com: OK
--- http://www.newsreview.com: OK
--- http://www.newsroomamerica.com: OK
--- http://www.newstatesman.com: OK
--- http://www.newstrackindia.com: OK
--- http://www.newyorker.com: OK
--- http://www.nhregister.com: OK
--- http://www.nj.com: OK
--- http://www.njspotlight.com: OK
--- http://www.noaanews.noaa.gov: OK
--- http://www.nola.com: OK
--- http://www.noozhawk.com: OK
--- http://www.northjersey.com: OK
--- http://www.norwichbulletin.com: OK
--- http://www.nunatsiaqonline.ca: OK
--- http://www.nybooks.com: OK
--- http://www.nydailynews.com: OK
--- http://www.nypost.com: OK
--- http://www.nytimes.com: FRAMEBUSTER
--- http://www.nzherald.co.nz: OK
--- http://www.odt.co.nz: OK
--- http://www.ogj.com: OK
--- http://www.ohio.com: OK
--- http://www.omaha.com: OK
--- http://www.onearth.org: OK
--- http://www.onegreenplanet.org: FRAMEBUSTER
--- http://www.onlineopinion.com.au: OK
--- http://www.onlinesentinel.com: OK
--- http://www.opb.org: OK
--- http://www.opednews.com: OK
--- http://www.opposingviews.com: OK
--- http://www.orlandosentinel.com: OK
--- http://www.orovillemr.com: OK
--- http://www.ottawacitizen.com: OK
--- http://www.ouramazingplanet.com: OK
--- http://www.ourmidland.com: OK
--- http://www.pacificsun.com: OK
--- http://www.pakistantoday.com.pk: OK
--- http://www.palmbeachdailynews.com: OK
--- http://www.palmbeachpost.com: OK
--- http://www.pasadenastarnews.com: OK
--- http://www.patheos.com: OK
--- http://www.patriotledger.com: OK
--- http://www.paysonroundup.com: OK
--- http://www.pbs.org: OK
--- http://www.pcmag.com: OK
--- http://wwwp.dailyclimate.org: OK
--- http://www.pda.sciencealert.com.au: OK
--- http://www.pe.com: OK
--- http://www.peninsuladailynews.com: OK
--- http://www.pennenergy.com: OK
--- http://www.pennlive.com: OK
--- http://www.perthnow.com.au: OK
--- http://www.phillyburbs.com: OK
--- http://www.philly.com: OK
--- http://www.pia.gov.ph: OK
--- http://www.platts.com: OK
--- http://www.policymic.com: OK
--- http://www.politickernj.com: OK
--- http://www.politico.com: OK
--- http://www.popsci.com: OK
--- http://www.popularmechanics.com: OK
--- http://www.postandcourier.com: OK
--- http://www.postcrescent.com: OK
--- http://www.post-gazette.com: FRAMEBUSTER
--- http://www.pottsmerc.com: OK
--- http://www.poughkeepsiejournal.com: OK
--- http://www.power-eng.com: OK
--- http://www.powerlineblog.com: OK
--- http://www.practicalfishkeeping.co.uk: OK
--- http://www.pressconnects.com: OK
--- http://www.pressdemocrat.com: OK
--- http://www.pressherald.com: OK
--- http://www.pressofatlanticcity.com: OK
--- http://www.presstrust.com: OK
--- http://www.presstv.ir: OK
--- http://www.princeton.edu: OK
--- http://www.pri.org: OK
--- http://www.prisonplanet.com: OK
--- http://www.prnewswire.com: OK
--- http://www.providencejournal.com: OK
--- http://www.prweb.com: X-FRAME-OPTIONS SAMEORIGIN, SAMEORIGIN
--- http://www.psmag.com: OK
--- http://www.publicnewsservice.org: OK
--- http://www.publishersweekly.com: OK
--- http://www.punchng.com: OK
--- http://www.pv-tech.org: OK
--- http://www.qconline.com: OK
--- http://www.radioaustralia.net.au: OK
--- http://www.rappler.com: OK
--- http://www.rawstory.com: OK
--- http://www.realclearpolitics.com: OK
--- http://www.realclimate.org: OK
--- http://www.recorder.com: OK
--- http://www.recordnet.com: OK
--- http://www.rediff.com: OK
--- http://www.redstate.com: OK
--- http://www.reformer.com: OK
--- http://www.registerguard.com: OK
--- http://www.renewamerica.com: OK
--- http://www.rep-am.com: OK
--- http://www.reporternews.com: OK
--- http://www.resource.uk.com: OK
--- http://www.reuters.com: OK
--- http://www.rgj.com: OK
--- http://www.rightsidenews.com: OK
--- http://www.roanoke.com: OK
--- http://www.rollingstone.com: OK
--- http://www.roundupweb.com: OK
--- http://www.rsc.org: OK
